[fixture] [Mon Aug 31 15:35:39 2026] PHP 8.5.4 Development Server (http://127.0.0.1:8091) started
chromium 151.0.7922.34 (fixture spawned)
tier low-android (low Android (Pixel 4a-class), CPU x6)
  low-android/sha16/inline/cold rep 1/50: solve 90 ms (p2v 151 ms, tx 250773 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 11/20: solve 5621 ms (p2v 5678 ms, tx 250806 B, cachehits 0, js 36 ms, wasmC - ms, worker 13 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 12/20: solve 993 ms (p2v 1056 ms, tx 250803 B, cachehits 0, js 44 ms, wasmC - ms, worker 17 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 13/20: solve 10743 ms (p2v 10805 ms, tx 250804 B, cachehits 0, js 41 ms, wasmC - ms, worker 15 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 14/20: solve 3780 ms (p2v 3840 ms, tx 250803 B, cachehits 0, js 38 ms, wasmC - ms, worker 15 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 15/20: solve 2342 ms (p2v 2401 ms, tx 250803 B, cachehits 0, js 36 ms, wasmC - ms, worker 14 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 16/20: solve 10312 ms (p2v 10370 ms, tx 250803 B, cachehits 0, js 38 ms, wasmC - ms, worker 14 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 17/20: solve 3442 ms (p2v 3501 ms, tx 250804 B, cachehits 0, js 38 ms, wasmC - ms, worker 17 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 18/20: solve 21702 ms (p2v 21761 ms, tx 250803 B, cachehits 0, js 40 ms, wasmC - ms, worker 13 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 19/20: solve 4253 ms (p2v 4311 ms, tx 250805 B, cachehits 0, js 37 ms, wasmC - ms, worker 14 ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/argon2id/inline/warm rep 20/20: solve 22684 ms (p2v 22744 ms, tx 250804 B, cachehits 0, js 41 ms, wasmC - ms, worker 15 ms, longtasks 0(0 ms), heap 9.5 MB)
  repeat navigation low-android/argon2id/inline/warm: p2v 4165 ms, tx 250804 B, cachehits 0, load 67 ms
  low-android/sha16/files/cold rep 1/50: solve 180 ms (p2v 232 ms, tx 173433 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 2/50: solve 727 ms (p2v 774 ms, tx 173433 B, cachehits 0, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 3/50: solve 65 ms (p2v 176 ms, tx 173433 B, cachehits 0, js - ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 4/50: solve 748 ms (p2v 820 ms, tx 173432 B, cachehits 0, js 34 ms, wasmC - ms, longtasks 1(58 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 5/50: solve 573 ms (p2v 625 ms, tx 173433 B, cachehits 0, js 30 ms, wasmC - ms, longtasks 1(51 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 6/50: solve 1610 ms (p2v 1656 ms, tx 173434 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 7/50: solve 77 ms (p2v 123 ms, tx 173432 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 8/50: solve 1295 ms (p2v 1344 ms, tx 173435 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 9/50: solve 852 ms (p2v 900 ms, tx 173432 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 10/50: solve 481 ms (p2v 532 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 11/50: solve 211 ms (p2v 260 ms, tx 173434 B, cachehits 0, js 28 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 12/50: solve 2561 ms (p2v 2608 ms, tx 173432 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 13/50: solve 111 ms (p2v 155 ms, tx 173431 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 14/50: solve 1933 ms (p2v 1977 ms, tx 173433 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 15/50: solve 983 ms (p2v 1029 ms, tx 173432 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 16/50: solve 1408 ms (p2v 1455 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 17/50: solve 70 ms (p2v 118 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 18/50: solve 681 ms (p2v 731 ms, tx 173433 B, cachehits 0, js 27 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 19/50: solve 1493 ms (p2v 1543 ms, tx 173433 B, cachehits 0, js 28 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 20/50: solve 258 ms (p2v 307 ms, tx 173435 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 21/50: solve 212 ms (p2v 261 ms, tx 173434 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 22/50: solve 731 ms (p2v 777 ms, tx 173432 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 23/50: solve 265 ms (p2v 312 ms, tx 173432 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 24/50: solve 316 ms (p2v 369 ms, tx 173435 B, cachehits 0, js 28 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 25/50: solve 126 ms (p2v 174 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 26/50: solve 819 ms (p2v 868 ms, tx 173434 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 27/50: solve 325 ms (p2v 371 ms, tx 173431 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 28/50: solve 124 ms (p2v 169 ms, tx 173433 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 29/50: solve 425 ms (p2v 472 ms, tx 173431 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 30/50: solve 838 ms (p2v 891 ms, tx 173433 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 31/50: solve 694 ms (p2v 741 ms, tx 173433 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 32/50: solve 1045 ms (p2v 1093 ms, tx 173431 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 33/50: solve 1474 ms (p2v 1523 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 34/50: solve 1911 ms (p2v 1959 ms, tx 173432 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 35/50: solve 568 ms (p2v 617 ms, tx 173433 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 36/50: solve 335 ms (p2v 384 ms, tx 173433 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 37/50: solve 1990 ms (p2v 2034 ms, tx 173431 B, cachehits 0, js 19 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 38/50: solve 410 ms (p2v 457 ms, tx 173431 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 39/50: solve 469 ms (p2v 513 ms, tx 173431 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 40/50: solve 745 ms (p2v 790 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 41/50: solve 141 ms (p2v 190 ms, tx 173432 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 42/50: solve 223 ms (p2v 269 ms, tx 173431 B, cachehits 0, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 43/50: solve 354 ms (p2v 400 ms, tx 173433 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 44/50: solve 3577 ms (p2v 3620 ms, tx 173436 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 45/50: solve 1435 ms (p2v 1483 ms, tx 173431 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 46/50: solve 411 ms (p2v 456 ms, tx 173432 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 47/50: solve 570 ms (p2v 619 ms, tx 173431 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 48/50: solve 919 ms (p2v 966 ms, tx 173433 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 49/50: solve 856 ms (p2v 905 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/cold rep 50/50: solve 517 ms (p2v 564 ms, tx 173431 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm pre-warmed the context (rep 0 discarded)

  low-android/sha16/files/warm rep 1/50: solve 267 ms (p2v 318 ms, tx 16828 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 2/50: solve 291 ms (p2v 343 ms, tx 16832 B, cachehits 2, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 3/50: solve 524 ms (p2v 576 ms, tx 16831 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 4/50: solve 1283 ms (p2v 1335 ms, tx 16830 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 5/50: solve 2340 ms (p2v 2391 ms, tx 16828 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 6/50: solve 2196 ms (p2v 2241 ms, tx 16829 B, cachehits 2, js 19 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 7/50: solve 644 ms (p2v 692 ms, tx 16830 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 8/50: solve 1248 ms (p2v 1298 ms, tx 16829 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 9/50: solve 982 ms (p2v 1031 ms, tx 16831 B, cachehits 2, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 10/50: solve 1601 ms (p2v 1650 ms, tx 16832 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 11/50: solve 903 ms (p2v 952 ms, tx 16828 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 12/50: solve 261 ms (p2v 310 ms, tx 16828 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 13/50: solve 973 ms (p2v 1022 ms, tx 16832 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 14/50: solve 157 ms (p2v 210 ms, tx 16829 B, cachehits 2, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 15/50: solve 260 ms (p2v 312 ms, tx 16829 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 16/50: solve 157 ms (p2v 204 ms, tx 16829 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 17/50: solve 89 ms (p2v 140 ms, tx 16829 B, cachehits 2, js 27 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 18/50: solve 435 ms (p2v 484 ms, tx 16830 B, cachehits 2, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 19/50: solve 460 ms (p2v 506 ms, tx 16830 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 20/50: solve 465 ms (p2v 514 ms, tx 16828 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 21/50: solve 411 ms (p2v 460 ms, tx 16831 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 22/50: solve 297 ms (p2v 343 ms, tx 16831 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 23/50: solve 219 ms (p2v 268 ms, tx 16828 B, cachehits 2, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 24/50: solve 1529 ms (p2v 1578 ms, tx 16831 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 25/50: solve 215 ms (p2v 268 ms, tx 16829 B, cachehits 2, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 26/50: solve 428 ms (p2v 479 ms, tx 16830 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 27/50: solve 189 ms (p2v 242 ms, tx 16830 B, cachehits 2, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 28/50: solve 541 ms (p2v 591 ms, tx 16829 B, cachehits 2, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 29/50: solve 584 ms (p2v 635 ms, tx 16828 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 30/50: solve 1908 ms (p2v 1959 ms, tx 16829 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 31/50: solve 125 ms (p2v 176 ms, tx 16829 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 32/50: solve 357 ms (p2v 406 ms, tx 16828 B, cachehits 2, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 33/50: solve 1389 ms (p2v 1438 ms, tx 16832 B, cachehits 2, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 34/50: solve 397 ms (p2v 446 ms, tx 16828 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 35/50: solve 447 ms (p2v 498 ms, tx 16829 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 36/50: solve 202 ms (p2v 253 ms, tx 16830 B, cachehits 2, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 37/50: solve 307 ms (p2v 357 ms, tx 16829 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 38/50: solve 1546 ms (p2v 1597 ms, tx 16828 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 39/50: solve 383 ms (p2v 430 ms, tx 16828 B, cachehits 2, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 40/50: solve 1912 ms (p2v 1959 ms, tx 16830 B, cachehits 2, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 41/50: solve 142 ms (p2v 195 ms, tx 16828 B, cachehits 2, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 42/50: solve 166 ms (p2v 220 ms, tx 16829 B, cachehits 2, js 28 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 43/50: solve 901 ms (p2v 953 ms, tx 16830 B, cachehits 2, js 27 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 44/50: solve 1909 ms (p2v 1966 ms, tx 16828 B, cachehits 2, js 28 ms, wasmC - ms, longtasks 1(50 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 45/50: solve 205 ms (p2v 257 ms, tx 16828 B, cachehits 2, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 46/50: solve 716 ms (p2v 764 ms, tx 16830 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 47/50: solve 4226 ms (p2v 4277 ms, tx 16830 B, cachehits 2, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 48/50: solve 1051 ms (p2v 1099 ms, tx 16832 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 49/50: solve 2717 ms (p2v 2765 ms, tx 16828 B, cachehits 2, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/files/warm rep 50/50: solve 425 ms (p2v 473 ms, tx 16828 B, cachehits 2, js 20 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  repeat navigation low-android/sha16/files/warm: p2v 943 ms, tx 16830 B, cachehits 2, load 52 ms
  low-android/sha18/files/cold rep 1/50: solve 1651 ms (p2v 1701 ms, tx 173431 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 2/50: solve 232 ms (p2v 278 ms, tx 173433 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 3/50: solve 234 ms (p2v 282 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 4/50: solve 2077 ms (p2v 2123 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 5/50: solve 767 ms (p2v 818 ms, tx 173431 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 6/50: solve 2232 ms (p2v 2280 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 7/50: solve 2671 ms (p2v 2718 ms, tx 173431 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 8/50: solve 6317 ms (p2v 6365 ms, tx 173436 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 9/50: solve 2959 ms (p2v 3005 ms, tx 173432 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 10/50: solve 1905 ms (p2v 1955 ms, tx 173431 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 11/50: solve 3646 ms (p2v 3692 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 12/50: solve 3993 ms (p2v 4036 ms, tx 173433 B, cachehits 0, js - ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 13/50: solve 1145 ms (p2v 1192 ms, tx 173432 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 14/50: solve 3820 ms (p2v 3864 ms, tx 173434 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 15/50: solve 3272 ms (p2v 3320 ms, tx 173432 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 16/50: solve 997 ms (p2v 1042 ms, tx 173432 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 17/50: solve 1444 ms (p2v 1488 ms, tx 173434 B, cachehits 0, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 18/50: solve 3229 ms (p2v 3277 ms, tx 173431 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 19/50: solve 2833 ms (p2v 2880 ms, tx 173434 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 20/50: solve 2490 ms (p2v 2535 ms, tx 173433 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 21/50: solve 783 ms (p2v 828 ms, tx 173431 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 22/50: solve 1486 ms (p2v 1531 ms, tx 173435 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 23/50: solve 1986 ms (p2v 2030 ms, tx 173434 B, cachehits 0, js - ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 24/50: solve 5665 ms (p2v 5714 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 25/50: solve 3819 ms (p2v 3865 ms, tx 173432 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 26/50: solve 1194 ms (p2v 1238 ms, tx 173431 B, cachehits 0, js 21 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 27/50: solve 1136 ms (p2v 1180 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 28/50: solve 6059 ms (p2v 6103 ms, tx 173433 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 29/50: solve 5811 ms (p2v 5855 ms, tx 173433 B, cachehits 0, js 19 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 30/50: solve 2212 ms (p2v 2258 ms, tx 173435 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 31/50: solve 2086 ms (p2v 2129 ms, tx 173431 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 32/50: solve 3120 ms (p2v 3166 ms, tx 173434 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 33/50: solve 1833 ms (p2v 1876 ms, tx 173433 B, cachehits 0, js 22 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 34/50: solve 1575 ms (p2v 1625 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 35/50: solve 853 ms (p2v 901 ms, tx 173434 B, cachehits 0, js 25 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 36/50: solve 4163 ms (p2v 4209 ms, tx 173433 B, cachehits 0, js 20 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 37/50: solve 92 ms (p2v 140 ms, tx 173431 B, cachehits 0, js 24 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 38/50: solve 1940 ms (p2v 1981 ms, tx 173432 B, cachehits 0, js - ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha18/files/cold rep 39/50: solve 307 ms (p2v 353 ms, tx 173431 B, cachehits 0, js 23 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
